,UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
6906,235422001,Heritage University,Main Campus,WA,"Private nonprofit, 4-year or above",283.0,867.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1,1
6907,235495001,Interface College-Spokane,Spokane Campus,WA,"Private for-profit, 2-year",34.0,33.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1
6908,235501001,International Air and Hospitality Academy,Main Campus,WA,"Private for-profit, less-than 2-year",210.0,172.0,382.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6909,235510001,ITT Technical Institute-Seattle,Main Campus,WA,"Private for-profit, 4-year or above",428.0,90.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6910,235529001,ITT Technical Institute-Spokane Valley,Main Campus,WA,"Private for-profit, 4-year or above",267.0,50.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6911,235547001,Bastyr University,Main Campus,WA,"Private nonprofit, 4-year or above",190.0,838.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,0,7,0,0,1,1,1
6912,235583001,Gene Juarez Academy of Beauty,Main Campus,WA,"Private for-profit, less-than 2-year",15.0,240.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6913,235671001,Bates Technical College,Downtown Campus,WA,"Public, 2-year",1852.0,2306.0,4158.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,1,1
6914,235671002,Bates Technical College,South Campus,WA,"Public, 2-year",1852.0,2306.0,4158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,1
6915,235671003,Bates Technical College,Central Campus,WA,"Public, 2-year",1852.0,2306.0,4158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6916,235699001,Lake Washington Institute of Technology,Kirkland Campus,WA,"Public, 4-year or above",1481.0,2301.0,3782.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6917,235699002,Lake Washington Institute of Technology,Redmond Campus,WA,"Public, 4-year or above",1481.0,2301.0,3782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6918,235750001,Lower Columbia College,Lower Columbia College,WA,"Public, 2-year",1233.0,1966.0,3199.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,0,0,0,0,1,1,0,1,1,1
6919,235769001,Trinity Lutheran College,Main Campus,WA,"Private nonprofit, 4-year or above",85.0,91.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,3,0,0,1,1,1
